language	script	word_order	sentence_example	stress_pattern	case_system	gender_system	rhythm	token_count	santok_length_factor	santok_balance_index	santok_entropy_index	santok_mean	santok_variance	phase1_cluster_count	phase1_boundary_count	phase1_repetition_score	phase2_stability_score	phase2_identity_count	phase3_node_count	phase3_edge_count	phase3_density	embedding_vector	embedding_dim	pipeline	device
Bengali	Bengali	SOV (Subject-Object-Verb)	আমি বাংলা শিখছি। (I am learning Bengali.)	Initial syllable stress typically	Nominative, objective, genitive, locative (with postpositions)	No grammatical gender	Stress-timed tendency	50	0	4	5	4.360000133514404	5.830399990081787	9	47	0	0	0	10	0	0	[0,4,5,4.360000133514404,5.830399990081787,50,9,0,47,9,5,8,4,5,7,3,7,1,1,3,2,1,2,8,4,1,1,0,0,1,3,3,1,0,0,0,0,10,0,0,0,0,3,2,1,4,6,7,9,1,5,6,7,7,7,8,5,2,3,1,3,6,4,1,3,5,7,5,3,2,1,9,5,4]	74	santok + threshold-onset phase1/2/3	cuda
Portuguese	Latin	SVO (Subject-Verb-Object), flexible	O gato preto dorme no sofá.	Penultimate stress for most words, marked by accent when irregular	No case marking	Masculine, feminine	Syllable-timed (Brazilian) / stress-timed tendency (European)	59	9	4	6	4.423728942871094	6.515368938446045	9	55	0	0	0	19	0	0	[9,4,6,4.423728942871094,6.515368938446045,59,9,0,55,9,7,8,3,9,5,11,4,6,6,3,1,4,1,4,4,3,1,4,1,6,2,5,8,0,0,0,0,19,0,0,0,0,8,2,8,5,6,2,1,5,1,4,3,7,8,2,4,9,1,3,5,4,5,1,3,9,1,8,1,2,3,8,7,3]	74	santok + threshold-onset phase1/2/3	cuda
Russian	Cyrillic	SVO (flexible due to case marking)	Чёрный кот спит на диване.	Unpredictable lexical stress, distinctive	Nominative, genitive, dative, accusative, instrumental, prepositional	Masculine, feminine, neuter	Syllable-timed tendency	54	4	5	7	5.537036895751953	7.581961631774902	9	40	0	0	0	14	0	0	[4,5,7,5.537036895751953,7.581961631774902,54,9,0,40,3,4,10,9,7,6,5,7,2,7,2,1,7,4,1,5,1,5,4,2,0,8,0,6,0,0,0,0,14,0,0,0,0,4,2,9,7,8,1,5,4,9,8,3,7,9,9,1,1,7,7,9,7,7,3,3,9,9,5,7,7,3,3,1,1]	74	santok + threshold-onset phase1/2/3	cuda
Urdu	Nastaliq (Perso-Arabic)	SOV (Subject-Object-Verb)	میں اردو سیکھ رہا ہوں۔ (I am learning Urdu.)	Penultimate syllable stress typically	Direct, oblique, vocative (with postpositions)	Masculine, feminine	Mora-timed rhythm	51	1	5	6	5.43137264251709	6.284505844116211	9	48	0	0	0	12	0	0	[1,5,6,5.43137264251709,6.284505844116211,51,9,0,48,6,8,3,5,6,6,7,5,1,6,7,8,7,2,1,2,3,1,1,3,4,0,1,3,0,0,0,0,12,0,0,0,0,9,8,2,9,1,8,6,7,9,6,5,6,3,7,7,8,5,8,4,3,1,8,9,5,4,5,7,5,3,2,1,9]	74	santok + threshold-onset phase1/2/3	cuda
Indonesian	Latin	SVO (Subject-Verb-Object)	Saya sedang belajar bahasa Indonesia.	Penultimate syllable stress typically	No case marking	No grammatical gender	Syllable-timed rhythm	49	9	4	7	4.734694004058838	7.052061557769775	9	45	0	0	0	11	0	0	[9,4,7,4.734694004058838,7.052061557769775,49,9,0,45,4,8,8,5,5,6,7,3,4,6,5,7,8,4,1,3,4,0,1,4,1,6,2,5,0,0,0,0,11,0,0,0,0,5,1,7,2,9,1,5,6,3,7,7,8,4,3,9,7,2,7,6,8,6,7,6,7,3,1,5,2,8,4,3,7]	74	santok + threshold-onset phase1/2/3	cuda
German	Latin	V2 in main clauses, SOV in subordinate clauses	Die schwarze Katze schläft auf dem Sofa.	Initial syllable stress for native words, variable for loans	Nominative, accusative, dative, genitive	Masculine, feminine, neuter	Stress-timed rhythm	70	0	5	6	5.257143020629883	6.648163318634033	9	65	0	0	0	16	0	0	[0,5,6,5.257143020629883,6.648163318634033,70,9,0,65,9,11,8,5,8,6,10,7,2,5,2,1,4,6,1,7,3,4,5,2,1,1,2,4,0,0,0,0,16,0,0,0,0,5,7,2,4,3,7,1,2,9,6,2,7,5,6,5,3,7,7,7,8,8,4,9,8,2,9,6,2,4,5,5,9]	74	santok + threshold-onset phase1/2/3	cuda
Japanese	Mixed (Hiragana, Katakana, Kanji)	SOV (Subject-Object-Verb)	私は日本語を勉強しています。(I am studying Japanese.)	Pitch accent (not stress-based)	Particles mark grammatical relations (が, を, に, で, へ, と, から)	No grammatical gender (some gendered speech patterns)	Mora-timed rhythm	64	4	5	7	5.15625	7.1630859375	9	58	0	0	0	16	0	0	[4,5,7,5.15625,7.1630859375,64,9,0,58,10,9,10,9,7,6,2,6,0,6,1,1,2,1,1,4,5,4,2,1,4,8,8,4,0,0,0,0,16,0,0,0,0,1,1,7,8,7,5,6,7,3,8,4,6,5,1,9,1,5,8,5,4,9,7,3,1,5,2,8,6,8,2,1,7]	74	santok + threshold-onset phase1/2/3	cuda
Swahili	Latin	SVO (Subject-Verb-Object)	Ninajifunza Kiswahili. (I am learning Swahili.)	Penultimate syllable stress	No case marking (word order and agreement)	Noun class system (not masculine/feminine)	Syllable-timed rhythm	63	3	4	7	4.7936506271362305	7.1478962898254395	9	56	0	0	0	14	0	0	[3,4,7,4.7936506271362305,7.1478962898254395,63,9,0,56,4,7,3,8,7,8,7,12,2,0,4,1,2,8,4,1,3,4,0,5,5,1,5,1,0,0,0,0,14,0,0,0,0,4,2,2,6,7,9,1,5,6,3,7,7,2,7,8,3,2,3,9,9,1,4,7,3,1,5,2,8,4,3,7,3]	74	santok + threshold-onset phase1/2/3	cuda
Marathi	Devanagari	SOV (Subject-Object-Verb)	मी मराठी शिकत आहे. (I am learning Marathi.)	Usually on first syllable of root	Nominative, accusative, dative, ablative, genitive, locative, instrumental, vocative	Masculine, feminine, neuter	Mora-timed rhythm	55	5	4	7	4.672727108001709	7.347437858581543	9	51	0	0	0	11	0	0	[5,4,7,4.672727108001709,7.347437858581543,55,9,0,51,9,8,9,5,5,6,5,5,6,6,2,2,3,1,2,8,4,1,2,2,1,4,3,1,0,0,0,0,11,0,0,0,0,3,9,3,1,3,6,7,9,1,5,6,4,2,3,7,4,3,9,5,1,1,8,6,9,1,4,5,7,5,3,2,1]	74	santok + threshold-onset phase1/2/3	cuda
Telugu	Telugu	SOV (Subject-Object-Verb)	నేను తెలుగు నేర్చుకుంటున్నాను. (I am learning Telugu.)	Initial syllable stress typically	Nominative, accusative, dative, genitive, locative, instrumental, ablative	Masculine, feminine, neuter	Mora-timed rhythm	51	1	4	7	4.607842922210693	7.257977485656738	9	44	0	0	0	14	0	0	[1,4,7,4.607842922210693,7.257977485656738,51,9,0,44,6,6,5,6,6,5,10,4,2,3,4,0,1,2,8,4,1,1,0,0,1,1,5,3,0,0,0,0,14,0,0,0,0,3,5,2,6,6,7,9,1,5,6,7,7,7,8,9,4,1,1,1,8,6,6,5,2,7,5,3,2,1,9,5,4]	74	santok + threshold-onset phase1/2/3	cuda
Turkish	Latin	SOV (Subject-Object-Verb)	Ben Türkçe öğreniyorum. (I am learning Turkish.)	Final syllable stress (with exceptions for suffixes)	Nominative, accusative, dative, locative, ablative, genitive	No grammatical gender	Syllable-timed rhythm	58	8	4	8	4.534482955932617	8.248810768127441	9	51	0	0	0	14	0	0	[8,4,8,4.534482955932617,8.248810768127441,58,9,0,51,6,14,6,6,7,5,7,6,8,1,0,4,1,2,3,1,1,3,4,0,2,4,7,1,0,0,0,0,14,0,0,0,0,9,1,2,2,6,7,9,6,5,6,3,7,7,5,1,8,9,1,1,3,1,6,8,2,1,8,8,7,3,1,5,2]	74	santok + threshold-onset phase1/2/3	cuda
Tamil	Tamil	SOV (Subject-Object-Verb)	நான் தமிழ் கற்றுக்கொண்டிருக்கிறேன். (I am learning Tamil.)	Initial syllable stress typically	Nominative, accusative, dative, sociative, genitive, locative, instrumental, ablative	Masculine, feminine, neuter (rational/irrational distinction)	Mora-timed rhythm	52	2	4	7	4.634615421295166	7.1549553871154785	9	45	0	0	0	8	0	0	[2,4,7,4.634615421295166,7.1549553871154785,52,9,0,45,5,8,3,5,5,8,4,9,1,2,3,4,1,2,6,2,1,1,0,0,1,1,8,0,0,0,0,0,8,0,0,0,0,6,7,5,2,6,7,9,3,5,6,7,7,7,8,9,1,1,1,3,9,4,1,4,1,7,3,1,5,3,3,2,8]	74	santok + threshold-onset phase1/2/3	cuda
Cantonese	Traditional Chinese	SVO (Subject-Verb-Object)	我學緊廣東話。(I am learning Cantonese.)	Tonal language, no stress-based distinctions	No grammatical case	No grammatical gender	Syllable-timed rhythm	44	4	4	7	4.0227274894714355	7.431301593780518	9	42	0	0	0	9	0	0	[4,4,7,4.0227274894714355,7.431301593780518,44,9,0,42,11,6,3,5,2,6,2,6,1,5,2,1,3,1,3,2,1,1,5,7,3,3,2,2,0,0,0,0,9,0,0,0,0,1,2,7,9,8,5,6,3,1,2,3,8,1,4,1,3,1,5,1,4,3,9,7,5,1,9,2,1,1,9,6,4]	74	santok + threshold-onset phase1/2/3	cuda
Korean	Hangul	SOV (Subject-Object-Verb)	저는 한국어를 배우고 있어요. (I am learning Korean.)	No lexical stress (some pitch patterns)	Particles mark grammatical relations (이/가, 을/를, 에, 에서, 로, 와/과)	No grammatical gender	Syllable-timed rhythm	60	0	4	7	4.949999809265137	7.480833530426025	9	55	0	0	0	14	0	0	[0,4,7,4.949999809265137,7.480833530426025,60,9,0,55,11,8,3,9,5,6,8,5,6,3,3,2,1,1,2,1,3,1,4,7,2,0,0,4,0,0,0,0,14,0,0,0,0,1,7,4,7,5,6,7,9,8,5,6,2,9,7,7,7,3,8,1,3,6,1,3,8,1,7,5,7,9,5,1,3]	74	santok + threshold-onset phase1/2/3	cuda
Vietnamese	Latin (modified)	SVO	Tôi đang học tiếng Việt.	Tonal (6 tones)	No case	No grammatical gender	Syllable-timed	41	1	4	6	4.634146213531494	6.085663318634033	9	37	0	0	0	5	0	0	[1,4,6,4.634146213531494,6.085663318634033,41,9,0,37,5,4,4,7,4,7,3,4,2,2,5,3,1,0,2,2,0,1,3,7,6,7,8,2,0,0,0,0,5,0,0,0,0,4,6,4,9,6,5,5,3,5,5,6,9,2,8,1,9,7,6,2,2,8,4,3,7,1,2,5,8,2,3,2,5]	74	santok + threshold-onset phase1/2/3	cuda
Italian	Latin	SVO (flexible, pro-drop)	Il gatto nero dorme sul divano.	Penultimate stress generally	No case	Masculine, feminine	Syllable-timed	44	4	4	5	4.613636493682861	5.418904781341553	9	39	0	0	0	4	0	0	[4,4,5,4.613636493682861,5.418904781341553,44,9,0,39,2,6,6,4,5,4,5,9,5,0,3,1,5,7,3,3,7,2,4,3,1,0,1,5,0,0,0,0,4,0,0,0,0,9,4,4,7,6,1,8,5,8,1,3,7,4,3,3,4,9,1,2,7,3,5,7,7,3,1,5,2,8,6,7,4]	74	santok + threshold-onset phase1/2/3	cuda
Thai	Thai script	SVO	ฉันกำลังเรียนภาษาไทย (I am learning Thai.)	Tonal (5 tones)	No case	No grammatical gender	Syllable-timed	40	0	4	6	4.150000095367432	6.477499961853027	9	36	0	0	0	6	0	0	[0,4,6,4.150000095367432,6.477499961853027,40,9,0,36,5,3,3,5,2,7,5,2,5,2,1,2,8,4,2,1,1,4,6,5,1,6,1,6,0,0,0,0,6,0,0,0,0,3,8,6,7,9,1,5,3,4,5,1,7,2,1,7,8,2,2,2,2,7,1,2,3,5,8,7,1,9,2,3,2]	74	santok + threshold-onset phase1/2/3	cuda
Gujarati	Gujarati script	SVO	Sample sentence in Gujarati.	Varies	Varies	Varies	Varies	15	5	3	4	3.200000047683716	4.293333530426025	7	12	0	0	0	1	0	0	[5,3,4,3.200000047683716,4.293333530426025,15,7,0,12,2,2,1,2,2,5,1,0,3,1,2,4,3,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,4,6,2,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Javanese	Latin/Javanese	SVO	Sample sentence in Javanese.	Varies	Varies	Varies	Varies	15	5	3	4	3.200000047683716	4.293333530426025	7	12	0	0	0	1	0	0	[5,3,4,3.200000047683716,4.293333530426025,15,7,0,12,2,2,1,2,2,5,1,0,3,1,2,4,3,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,4,6,2,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Persian	Perso-Arabic	SVO	Sample sentence in Persian.	Varies	Varies	Varies	Varies	15	5	3	4	3.066666603088379	4.195555686950684	7	12	0	0	0	2	0	0	[5,3,4,3.066666603088379,4.195555686950684,15,7,0,12,3,2,1,1,6,1,1,0,2,1,2,5,4,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,5,3,4,6,1,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Polish	Latin	SVO	Sample sentence in Polish.	Varies	Varies	Varies	Varies	15	5	3	4	3.200000047683716	4.293333530426025	7	12	0	0	0	1	0	0	[5,3,4,3.200000047683716,4.293333530426025,15,7,0,12,2,2,1,2,2,5,1,0,3,1,2,4,3,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,4,6,2,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Malay	Latin	SVO	Sample sentence in Malay.	Varies	Varies	Varies	Varies	15	5	3	5	3.4666666984558105	5.848888874053955	8	11	0	0	0	1	0	0	[5,3,5,3.4666666984558105,5.848888874053955,15,8,0,11,3,1,1,1,2,5,1,1,0,1,2,3,4,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,4,6,9,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Kannada	Kannada script	SVO	Sample sentence in Kannada.	Varies	Varies	Varies	Varies	15	5	3	5	3.5999999046325684	5.973333358764648	8	11	0	0	0	1	0	0	[5,3,5,3.5999999046325684,5.973333358764648,15,8,0,11,1,2,1,1,3,5,1,1,6,1,2,1,0,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9,3,4,6,5,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Odia	Odia script	SVO	Sample sentence in Odia.	Varies	Varies	Varies	Varies	15	5	3	4	3	4	7	12	0	0	0	2	0	0	[5,3,4,3,4,15,7,0,12,2,2,1,6,2,1,1,0,1,1,2,5,4,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,3,4,6,1,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Punjabi	Gurmukhi	SVO	Sample sentence in Punjabi.	Varies	Varies	Varies	Varies	15	5	3	4	3.200000047683716	4.293333530426025	7	12	0	0	0	1	0	0	[5,3,4,3.200000047683716,4.293333530426025,15,7,0,12,2,2,1,2,2,5,1,0,3,1,2,4,3,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,4,6,2,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Ukrainian	Cyrillic	SVO	Sample sentence in Ukrainian.	Varies	Varies	Varies	Varies	15	5	3	5	3.4666666984558105	5.848888874053955	8	11	0	0	0	1	0	0	[5,3,5,3.4666666984558105,5.848888874053955,15,8,0,11,3,1,1,1,2,5,1,1,0,1,2,3,4,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,4,6,9,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Romanian	Latin	SVO	Sample sentence in Romanian.	Varies	Varies	Varies	Varies	15	5	3	4	3	4	7	12	0	0	0	2	0	0	[5,3,4,3,4,15,7,0,12,2,2,1,6,2,1,1,0,1,1,2,5,4,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,3,4,6,1,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Dutch	Latin	SVO	Sample sentence in Dutch.	Varies	Varies	Varies	Varies	15	5	3	4	3.3333332538604736	4.622222423553467	7	12	0	0	0	2	0	0	[5,3,4,3.3333332538604736,4.622222423553467,15,7,0,12,2,3,1,1,2,5,1,0,4,1,2,3,2,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,7,3,4,6,3,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Greek	Greek	SVO	Sample sentence in Greek.	Varies	Varies	Varies	Varies	15	5	3	4	3.3333332538604736	4.622222423553467	7	12	0	0	0	2	0	0	[5,3,4,3.3333332538604736,4.622222423553467,15,7,0,12,2,3,1,1,2,5,1,0,4,1,2,3,2,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,7,3,4,6,3,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Czech	Latin	SVO	Sample sentence in Czech.	Varies	Varies	Varies	Varies	15	5	3	4	3.200000047683716	4.293333530426025	7	12	0	0	0	1	0	0	[5,3,4,3.200000047683716,4.293333530426025,15,7,0,12,2,2,1,2,2,5,1,0,3,1,2,4,3,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,4,6,2,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
